match_keywords,answer_length,followups_count,answer_preview
"why yellow gold primary, why elevated yellow gold, gold change 2026",3100,4,<p><strong>Short answer:</strong> warmth wins on phones. Muted Gold (#89764B) is reverent and traditional; Yellow Gold (
"why 60-30-10, color hierarchy why, why one color leads",2363,4,"<p><strong>Short answer:</strong> when every color fights for equal attention, your eye doesn't know where to land — the"
"why dark, why black background, dark mode",2337,4,<p><strong>Short answer:</strong> over 80% of users browse with dark mode enabled. Black backgrounds aren't an aesthetic
"why blue yellow, ikea best buy walmart, industry blue yellow",2658,4,<p><strong>Short answer:</strong> Blue + Yellow Gold is the single most-tested color combination in family-facing brandi
"why three fonts, why not one font",2680,4,<p><strong>Short answer:</strong> three fonts cover three jobs that one font can't do well. Whitney for the loud moments
"10 beads, ten beads, rosary beads, why ten",2894,4,"<p><strong>Short answer:</strong> the HCFM mark is built around the 10 beads of a Rosary decade — not 5, not 7, not 12 —"
"why playlist script rules, why strict colors script",2782,4,<p><strong>Short answer:</strong> Playlist Script is the most-easily-abused typeface in our system. A decorative script 
"why hcfm blue 0047bb, pantone 2728 reason",2795,4,"<p><strong>Short answer:</strong> HCFM Blue (#0047BB / Pantone 2728C) was chosen because it sits in the family of ""Maria"
"why blue mary, mary blue tradition, why marian blue",2753,4,"<p><strong>Short answer:</strong> Marian Blue (#00A9E0) carries the lighter, devotional register of the blue family — th"
"why simplified palette, 20 colors to 6",3083,4,"<p><strong>Short answer:</strong> with 20 colors in the old palette, every ministry center used a different combination "
"why dark overlay opacity range, overlay 40 to 70",2640,4,<p><strong>Short answer:</strong> dark overlays on photos exist to make text legible over the image. The 40-60% opacity 
"why thin border 3 4 pixels, border thickness rule",2428,4,<p><strong>Short answer:</strong> the 3-4 pixel border is the visual edge that frames content without becoming a design 
"why real not stock, authentic photography",3544,4,<p><strong>Short answer:</strong> stock photography is recognizable as stock photography. Audiences (especially Catholic
"why narrative voice, why stories not bullets",3197,4,<p><strong>Short answer:</strong> bullet points are efficient for instructions; narrative voice is effective for relatio
"why two voice registers, voice why two",2937,4,"<p><strong>Short answer:</strong> HCFM talks to two audiences whose ears are different. Families/parishes need warmth, r"
"why digital first, mobile audience, digital channels",3385,4,"<p><strong>Short answer:</strong> the families HCFM serves consume our content primarily on phones — on social media, in"
"why same brand globally, brand consistency vs culture, fragmentation",3322,4,"<p><strong>Short answer:</strong> if every ministry center picks its own colors, fonts, and imagery, we fragment back in"
"why this brand page, purpose of brand portal",3452,4,<p><strong>Short answer:</strong> the brand portal exists because the previous SharePoint-based system was actively fail
"why ab test, why test colors, why not just decide",3299,4,<p><strong>Short answer:</strong> brand-color choices have outcomes that are measurable on social platforms. A/B testing
